Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2021-10-02 11:05 (EST),On Demand,Jess Sims,20,Running,Music,20 min Pop Run,2021-06-29 18:41 (EST),,,,,,,173,,,
2021-10-07 17:58 (-04),On Demand,Cody & Emma ,20,Cardio,Dance Cardio,20 min Dance Cardio,2021-10-07 10:00 (-04),,,,,,,110,,,
2021-10-07 18:24 (-04),On Demand,Tunde Oyeneyin,45,Cycling,Music,45 min Hip Hop Ride,2021-10-06 18:25 (-04),152,56,25%,100,12.46,9.34,186,,,
2021-10-07 19:11 (-04),On Demand,Camila Ramon,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-10-05 19:00 (-04),,,,,,,11,,,
2021-10-08 17:10 (EST),On Demand,Adrian Williams,45,Running,Intervals,45 min HIIT Run,2021-10-01 06:52 (EST),,,,,,,393,,,
2021-10-09 09:42 (EST),On Demand,Adrian Williams,30,Running,Music,30 min Hip Hop Run,2021-08-07 12:07 (EST),,,,,,,261,,,
2021-10-10 09:25 (-04),On Demand,Alex Toussaint,5,Cycling,Warm Up/Cool Down,5 min AT's Ride to Greatness: Warm Up,2021-05-22 10:00 (-04),14,48,24%,93,11.68,0.97,17,,,
2021-10-10 09:31 (-04),On Demand,Alex Toussaint,60,Cycling,Theme,60 min Club Bangers Ride,2021-10-09 13:23 (-04),162,45,24%,86,10.38,10.38,198,,,
2021-10-15 17:51 (-04),On Demand,Matt Wilpers,5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-10-14 11:00 (-04),16,53,23%,107,12.29,1.02,19,,,
2021-10-15 17:57 (-04),On Demand,Tunde Oyeneyin,45,Cycling,Intervals,45 min Intervals & Arms Ride,2021-10-02 09:25 (-04),132,49,24%,94,11.62,8.71,162,,,
